"","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1467",0.16,0.44,0.4,5.9,2.8,0,0.6,18.8,27.3,7,118,1.04,7.4,6,25,10,2
"1468",0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"1469",0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"1470",0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"1471",0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"1472",0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"1473",0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"1474",0.16,0.6,0.24,6.2,2.2,0,0.6,19.7,30.8,8,57,0.82,10.2,7,16,5,2
"1475",0.16,0.44,0.4,5.9,2.8,0,0.6,18.8,27.3,7,118,1.04,7.4,6,25,10,2
"1476",0.16,0.44,0.4,5.9,2.8,0,0.6,18.8,27.3,7,118,1.04,7.4,6,25,10,2
"1477",0.16,0.44,0.4,5.9,2.8,0,0.6,18.8,27.3,7,118,1.04,7.4,6,25,10,2
"1478",0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"1479",0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"1480",0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"1481",0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"1482",0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"1483",0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"1484",0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"1485",0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"1486",0.16,0.44,0.4,5.9,2.8,0,0.6,18.8,27.3,7,118,1.04,7.4,6,25,10,2
"1487",0.16,0.44,0.4,5.9,2.8,0,0.6,18.8,27.3,7,118,1.04,7.4,6,25,10,2
"1488",0.16,0.58,0.26,5.3,3.3,0.5,0.9,20.4,29.9,12,250,1.08,7.8,11,19,16,4
"1489",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1490",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1491",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1492",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1493",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1494",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1495",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1496",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1497",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1498",0.24,0.28,0.48,5.6,1.4,0,0.6,11.8,17.6,4,99,0.74,5,4,28,4,1
"1499",0.24,0.28,0.48,5.6,1.4,0,0.6,11.8,17.6,4,99,0.74,5,4,28,4,1
"1500",0.24,0.28,0.48,5.6,1.4,0,0.6,11.8,17.6,4,99,0.74,5,4,28,4,1
"1501",0.24,0.28,0.48,5.6,1.4,0,0.6,11.8,17.6,4,99,0.74,5,4,28,4,1
"1502",0.24,0.28,0.48,5.6,1.4,0,0.6,11.8,17.6,4,99,0.74,5,4,28,4,1
"1503",0.24,0.28,0.48,5.6,1.4,0,0.6,11.8,17.6,4,99,0.74,5,4,28,4,1
"1504",0.28,0.28,0.44,5.5,1.8,0,0.7,11.4,17,4,121,1.03,4.5,5,37,6,2
"1505",0.24,0.28,0.48,5.6,1.4,0,0.6,11.8,17.6,4,99,0.74,5,4,28,4,1
"1506",0.24,0.28,0.48,5.6,1.4,0,0.6,11.8,17.6,4,99,0.74,5,4,28,4,1
"1507",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1508",0.28,0.24,0.48,5.6,1.9,0,0.9,16.6,22.9,4,85,1.04,5.2,4,30,5,2
"1509",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1510",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1511",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1512",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1513",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1514",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1515",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1516",0.4,0.2,0.4,5.5,1.4,0,0.8,15.4,20.7,3,56,0.69,4.5,3,24,5,1
"1517",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1518",0.4,0.2,0.4,5.5,1.4,0,0.8,15.4,20.7,3,56,0.69,4.5,3,24,5,1
"1519",0.4,0.2,0.4,5.5,1.4,0,0.8,15.4,20.7,3,56,0.69,4.5,3,24,5,1
"1520",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1521",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
"1522",0.34,0.22,0.44,5.7,1.6,0,0.7,14.1,19.3,3,74,0.99,4.2,3,35,4,3
